id_direccion,Direccion,Referencia ,id_establecimiento,Parroquia;
46,GENERAL TORRES 8-40 SUCRE,A MEDIA CUADRA DE LA CLINICA BOLIVAR,46,GIL RAMÍREZ DÁVALOS;
"47,EL BATAN S/N AV 12 DE ABRIL,,47,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
48,CAMINO A RAYOLOMA,A DOS CUADRAS DE LA IGLESIA EL CENACULO,48,EL SAGRARIO;
49,AV DEL ESTADIO Y JOSE PERALTA,a tres cuadras de la universidad de cuenca,49,SUCRE;
"50,TARQUI 9 30 Y BOLIVAR,,50,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"51,PADRE AGUIRRE N.- 6-22,,51,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"52,GASPAR SANGURIMA 2-55 TOMAS ORDOÑEZ,,52,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"53,GARCIA MORENO 6-50 Y GONZALES SUAREZ,,53,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
54,TRATADO DE GIRON Y ESCUADRON CEDEÑO,JUNTO AL BANCO DEL PACIFICO,54,SAN BLAS;
"55,JUAN JARAMILLO 8-39 Y BENIGNO MALO,,55,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"56,CALLE LARGA 1-164 Y JESUS DE ARRIEGA,,56,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"57,TURI S/N (SECTOR IGUESIA),,57,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"58,""PASEO DE GUADALUPANA, SECTOR BAÑOS"",,58,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"59,Mariano Cueva 9-42 Bolivar,,59,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"60,GONZALEZ SUAREZ S/N EMILIANO ZAPATA,,60,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
61,REMIGIO CRESPO S/N DE LA CRUZ, ingresar por la calle la La Mar ,61,EL SAGRARIO;
62,LAS HERRERIAS 2-10 AV 12  DE ABRIL,CENTRO COMERCIAL MONAY SHOPPING,62,MONAY;
63,GRAN COLOMBIA 12-64 JUAN MONTALVO,CENTRO COMERCIAL BATAN,63,EL BATÁN;
64,MALL DEL RIO SHOPPIN CENTER,SECTROR LAS HERRERIAS,64,HUAYNACÁPAC;
65,CRISTOBAL COLON Y AV. 12 DE OCTUBRE,'',65,GIL RAMÍREZ DÁVALOS;
"66,EL MOLINO 2-04 LOS BALCONES,,66,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"67,PRESIDENTE CORDOVA N°7-23 Y BORRERO,,67,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
68,SANGURIMA 6-49,A UNA CUADRA DE EDIFICIO MONTEVELLO,68,SAN SEBASTIÁN;
"69,PANAMERICANA SUR KM 8.5,,69,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"70,AV DE LAS AMERICAS 6-178,,70,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
"71,AV.12 DE ABRIL Y EL BATAN,,71,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.""";
