id_direccion,Direccion,Referencia ,id_establecimiento,Parroquia;
"5816,""KENNEDY NORTE, MZ. 110, SL. 5-6"",,5816,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5817,""CDLA. URDESA CENTRAL, CALLE EBANOS # 126 ENTRE AV. V E ESTRADA Y BALSAMOS. COND ARAUCO, LOCAL 4"",,5817,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5818,""URB. PUERTO AZUL, MZ 112, C.C. PUERTO PLAZA, LOCAL 20"",,5818,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5819,VICTOR MANUEL RENDON #832 ENTRE RIOBAMBA Y RUMICHACA,,5819,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5820,CARCHI 904 ENTRE VELEZ Y HURTADO,,5820,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5821,""ALBORADA SEGUNDA ETAPA SOLAR #12-B, MZ. A-1"",,5821,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5822,""ALBORADA 11 ETAPA, BLOQUE A-2, LOCAL 20"",,5822,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5823,""SAUCES 8, MZ 454 F15, SOLAR 1 "",,5823,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5824,""CDLA. LA HERRADURA, MZ. 4, SL. 12"",,5824,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5825,CDLA. SAUCES SEIS SOLAR #12 MZ. #F-266,,5825,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5826,TUNGURAHUA 2116 Y LUQUE,,5826,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5827,""ALBORADA NOVENA ETAPA, MZ. 908, SL. 23"",,5827,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5828,DOMINGO COMIN 1111 Y CALLE G,,5828,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5829,PEDRO MONCAYO #1119 Y AGUIRRE,,5829,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5830,CALLE 29AVA #2311 Y N. AUGUSTO GONZALEZ,,5830,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5831,PORTETE 1413 Y AV. QUITO,,5831,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5832,PRIMERA 106 BALSAMOS,,5832,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5833,""CDLA. URDESA CENTRAL, VICTOR EMILIO ESTRADA 812A, ENTRE GUAYACANES E HIGUERAS"",,5833,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5834,6 DE MARZO # 1407 Y PEDRO PABLO GOMEZ,,5834,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5835,CHILE #1703 Y CUENCA,,5835,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5836,LA GARZOTA DOS S/N MZ 31 GARZOCENTRO 2000 OFICINA312,,5836,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5837,""CDLA. VERNAZA NORTE, MZ. 14, SL. 5"",,5837,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5838,CDLA. ALBORADA QUINTA ETAPA SL 1 MZ 5-DL,,5838,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5839,LORENZO DE GARAICOA 3020Y FRANCISCO DE MARCOS,,5839,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5840,""AV. TERMINAL PASCUAL TERRESTRE, C.C. PLAZA ROMERIA, LOCAL 27"",,5840,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5841,SAUCES TRES MZ. 142 SOLAR 32,,5841,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5842,CDLA. ALBORADA IV ETAPA MZ. F-P SOLAR 1,,5842,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5843,""6 DE MARZO S/N Y 10 DE AGOST, C.C. SANCHEZ PISO 1 OFICINA 102"",,5843,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5844,RUMICHACA 528 Y LUIS URDANETA,,5844,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5845,ROCA 210 ENTRE PANAMA Y ROCAFUERTE ,,5845,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5846,""URB. HERRADURA, MZ. 7, LOCAL 4-5"",,5846,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5847,""CDLA. KENNEDY OESTE, AV. PRIMERA (FRANCISCO BOLOÑA) 508 Y CALLE 4TA"",,5847,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5848,PEDRO MONCAYO 938 Y 9 DE OCTUBRE,,5848,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5849,AV. DOMINGO COMIN 204 Y CALLEJON DAULE,,5849,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5850,""CDLA. KENNEDY NORTE, MZ. 65, SOLAR 3"",,5850,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5851,PANAMÁ 604 Y GRAL. ALM. MANUEL LUZURRAGA,,5851,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5852,ESMERALDAS # 4000 Y BOLIVIA,,5852,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5853,""CDLA. UNION Y PROGRESO, MZ. B, SOLAR 1"",,5853,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5854,LOS RIOS #116 ENTRE MANUEL GALECIO Y ALEJO LASCANO,,5854,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5855,VELEZ 1021 ENTRE AV. QUITO Y PEDRO MONCAYO,,5855,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5856,""AV. JOAQUIN ORRANTIA S/N Y LEOPOLDO BENITEZ, EDIF. TRADE BUILDING CENTER, LOCAL 6"",,5856,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5857,CDLA.MIRAFLORES MZ.4 #SL.8-B,,5857,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5858,""SAUCES DOS, MZ. 100 F, SOLAR 3"",,5858,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5859,AGUIRRE 914 Y LORENZO DE GARAYCOA,,5859,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5860,""AV. 25 DE JULIO, C.C. MALL DEL SUR, ISLA 26"",,5860,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5861,CDLA FAE MZ. 6 V. 10 L1,,5861,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5862,""ESCALINATAS DIEGO NOBOA 110, ESCALERA 69"",,5862,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5863,""C.C. MALECOON DEL ESTERO SALADO, LOCAL RBL 1, PLAZA RODOLFO BAQUERIZO, NUEVE DE OCTUBRE S/N Y TUNGURAHUA"",,5863,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5864,CDLA. NAVAL NORTE MZ C VILLA 8,,5864,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5865,""AV. ROSAVIN S/N Y COBRE, VIA DAULE, KM. 18 1/2"",,5865,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5866,CHIMBORAZO 1307 HUANCAVILCA,,5866,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5867,""CDLA. NAVAL NORTE, MZ. 6, SL. 1-B"",,5867,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5868,JUNÍN 217 ENTRE PANAMÁ Y JUNÍN,,5868,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5869,""CDLA. SAUCES 6, SOLAR 5, MZ.259-F-4"",,5869,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5870,ROCAFUERTE 622 Y MENDIBURU,,5870,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5871,PORTETE #2320 ENTRE TULCAN Y CARCHI,,5871,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5872,""AV. FRANCISCO DE ORELLANA Y ALBERTO BORGES, MZ. T-1, C.C. PLAZA ORELLANA LOCAL 6 PISO 0"",,5872,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5873,AV. QUITO 200 Y CHAVEZ FRANCO,,5873,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5874,LUIS URDANETA #1308-A Y ANTEPARA,,5874,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5875,""AV. CARLOS JULIO AROSEMENA S/N Y AV. LAS MONJAS, ED. C.C. AVENTURA PLAZA, LOCAL 11 C."",,5875,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5876,CDLA SAUCES UNO SOLAR# 15 MZ F-4,,5876,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5877,PEDRO MONCAYO 2701-A Y GOMEZ RENDON,,5877,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5878,""CDLA. URDESA, AV. VICTOR EMILIO ESTRADA 711-A Y FICUS"",,5878,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5879,AV. 25 DE JULIO S/N S 2 AV. ROBERTO SERRANO,,5879,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5880,CORDOVA 1021 Y AV. 9 DE OCTUBRE ,,5880,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5881,ROCAFUERTE #644 ENTRE MENDIBURO Y TOMAS MARTINEZ,,5881,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5882,""CDLA. MIRAFLORES, SOLAR #4-A,  MZ. 5"",,5882,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5883,CORONEL 915 ENTRE MALDONADO Y CALICUCHIMA ,,5883,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5884,""ALBORADA 12ava ETAPA #25,  MZ. 4 "",,5884,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5885,CHIMBORAZO 617 Y SUCRE,,5885,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5886,""CDLA. MARTHA DE ROLDOS MZ. #611, SOLAR #01 LOCAL #2"",,5886,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5887,CDLA. LA FLORIDA MZ 616 VILLA 2,,5887,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5888,PORTETE 3300 Y NICOLAS SEGOVIA ,,5888,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5889,""URDESA, AV. VICTOR EMILIO ESTADRA 1018 Y JIGUAS"",,5889,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5890,LUQUE 409 Y CHIMBORAZO,,5890,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5891,FCO. SEGURA 1032 ENTRE LA 19 AVA. Y 20 AVA.,,5891,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5892,""ALBORADA 7 ETAPA, AV. JOSE MARIA EGAS, SOLAR 16, MZ. 298"",,5892,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5893,NOGUCHI 1018 Y BRASIL ,,5893,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5894,""KM 22 VIA A LA COSTA, URB. PORTOFINO, MZ. 211, SOLAR 1, C.C. BLUE COAST CENTER, LOCAL 26"",,5894,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5895,""CDLA. LA GARZOTA - AV. PIO JARAMILLO S/N, MZ. 2 - C.C. LA GARZOTA, LOCAL #16"",,5895,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5896,C.C. LA GARZOTA LC. 16,,5896,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5897,VICTOR EMILIO ESTRADA 730-A Y GUAYACANES,,5897,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5898,AV. MIRAFLORES 309 ENTRE CALLES QUINTA Y SEXTA,,5898,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5899,""PUERTO SANTA ANA, EDIF TORRE BELLINI IV, OFICINA L-005"",,5899,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5900,PEDRO CRABO #118 E7 JUNIN Y ROCA,,5900,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5901,CALLE 29 AVA. S/N ENTRE CALLEJON P Y CALLE Q,,5901,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5902,JOSÉ MASCOTE 1116 ENTRE VÉLEZ Y LUQUE,,5902,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5903,KM 33 VIA A LA COSTA,,5903,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5904,CDLA. PUERTO AZUL S7N C.C. PUERTO PLAZA LOCAL 11,,5904,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5905,""URB. GARZOTA, MZ. 31, C.C. GARZOCENTRO 2000, LOCAL #1103"",,5905,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5906,Calle Segunda 314 Av. Principal,,5906,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5907,CDLA. MARTHA DE ROLDOS SOLAR #7 MZ. 76,,5907,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5908,CDLA. LA GARZOTA MZ. 14 SOLAR 7,,5908,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5909,AV. QUITO 1016 Y VELEZ,,5909,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5910,""CDLA. GUAYACANES, SOLAR #1,  MZ. 97 - B "",,5910,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5911,LA GARZOTA MZ. 20 SOLAR# 7 EDIFICIO EL SEÑORIAL ,,5911,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5912,BRASIL 335 E/ CHIMBORAZO Y CHILE,,5912,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5913,""CDLA ALBORADA XII ET, MZ 19 SOLAR 36"",,5913,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5914,""GARZOTA, SOLAR 29, MZ. 32, AVENIDA 2A NE. Y AVE. AGUSTIN FREIRE"",,5914,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5915,BRASIL 813 ENTRE RUMICHACA Y GARAYCOA ,,5915,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5916,GARCIA MORENO #528 ENTRE PADRE SOLANO Y LUIS,,5916,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5917,""CDLA. LOS CEIBOS, AV. PRIMERA S/N ENTRE CALLES 13 Y 12, C.C. LOS CEIBOS, LOCAL 4"",,5917,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5918,VELEZ 501 CALLE BOYACA,,5918,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5919,AYACUCHO 1225 Y AV. QUITO,,5919,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5920,COLON #2303 Y TUNGURAHUA,,5920,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5921,LUIS URDANETA 708 ENTRE RIOBAMBA Y RUMICHACA,,5921,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5922,CDLA. ALBORADA 11AVA ETAPA  SOLAR 11 MZ. #542 ,,5922,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5923,""CDLA. URDESA, COSTANERA DEL SALADO 717 A Y GUAYACANES"",,5923,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5924,ALBORADA XI BLOQUE A-2 EDIFICIO C.C. ALBOCENTRO 5 LOCAL 5 Y 6 PB,,5924,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5925,ELOY ALFARO #435 Y AV. OLMEDO,,5925,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5926,CDLA ALBORADA SEGUNDA ETAPA SOLAR 20 MZ A-J ,,5926,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5927,AV. MACHALA S/N Y MANUEL  GALECIO ,,5927,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5928,""CDLA. MODELO, SOLAR 5, MZ. 19"",,5928,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5929,""LA GARZOTA, AV. AGUSTÍN FREIRE, MZ. 152, SOLAR 6, LOCAL 1"",,5929,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5930,""AV, VICTOR EMILIO ESTRADA 419 C Y EBANOS"",,5930,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5931,CHILE 2825 Y COLOMBIA ,,5931,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5932,PEDRO CARBO 302 Y VICTOR MANUEL RENDÓN,,5932,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5933,38 AVA. 1524 ENTRE BOLIVIA Y VACAS GALINDO,,5933,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5934,""URDESA NORTE, AV. PRIMERA 536 Y CALLE PRIMERA"",,5934,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5935,CDLA. ESTEROS DOS MZ. 39-A SOLAR #22,,5935,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5936,CALLE 29AVA #1611 ENTRE COLOMBIA Y CAMILO DESTRUGE,,5936,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5937,""CDLA. MIRAFLORES, AV. MIRAFLORES 211 Y CALLE TERCERA, CONDOMINIO BELO, LOCAL 2, P.B."",,5937,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5938,""ALBORADA 4TA ETAPA, MZ. GA, ALBOCENTRO 1, LOCAL 8"",Frente Alianza Francesa,5938,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5939,CALICUCHIMA 326 Y CHIMBORAZO,,5939,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5940,LUIS URDANETA #1014 YAV. QUITO,,5940,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5941,""C.C. GARZOCENTRO 2000, LOCAL 1110, BLOQUE 11, CDLA. LA GARZOTA"",,5941,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5942,JUAN MONTALVO # 217 - 219 ENTRE ROCAFUERTE Y PANAMA,,5942,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5943,PICHINCHA 707 ENTRE 10 DE AGOSTO Y SUCRE,,5943,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5944,SUCRE Nº 1060 Y JUAN PIO MONTUFAR ,,5944,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5945,C.C GARZOCENTRO 2000 LOCAL 604,,5945,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5946,LORENZO DE GARAICOA #3402 Y GENERAL GOMEZ,,5946,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5947,""KM. 13 VÍA A LA COSTA, ED. BLUE COAST BUSINESS, LOCAL 33"",,5947,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5948,CHIMBORAZO 1705 Y BRASIL,,5948,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5949,""ALBORADA DECIMO TERCERA ETAPA, MZ. 25, SOLAR 16"",,5949,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5950,CAPITAN NAJERA 518 CHIMBORAZO,,5950,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5951,PEDRO CARBO S/N Y CLEMENTE BALLEN,,5951,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5952,""CDLA. COOPERATIVA GUAYAQUIL, MZ. 1, SOLAR 17"",,5952,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5953,LUZURRAGA 207 PANAMA,,5953,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5954,""URDESA CENTRAL, AV. VICTOR EMILIO ESTRADA 715 Y PEATONAL, ENTRE FICUS Y GUAYACANES, MZ. 78, EDIF. CONDOMINIO MERCEDES, PISO 0 "", Dentro del museo del cacao ubicado en&nbsp la calle Panamá entre Imbabura y Luzarraga&nbsp  ,5954,CARBO (CONCEPCIÓN) ";
"5955,QUISQUIS #305 ENTRE RUMICHACA Y GARAYCOA,,5955,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5956,GARCIA  GOYENA  # 1720  ENTRE  ESMERALDAS  Y  JOSE  MASCOTE,,5956,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5957,""CDLA. ATARAZANA, MZ. P6, SOLAR 16"",,5957,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5958,""CDLA. GUAYACANES, SOLAR #24, MZ. 78"",,5958,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5959,""CDLA. ALBORADA DOCEAVA ETAPA, MZ. 23, SOLAR 28"",,5959,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5960,""CDLA. MAPASINGUE OESTE,MZ. A SL. 19CALLE CYARTA Y AV. PRINCIPAL"",,5960,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5961,""SAMANES UNO, MZ. 101, SL. 8"",,5961,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5962,""CDLA. ALBORADA 5ETAPA, MZ. 51, SOLAR #1"",,5962,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5963,RUMICHACA Nº 2418 Y FEBRES CORDERO ESQUINA,,5963,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5964,MENDIBURO #112 Y CORDOVA,,5964,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5965,BRASIL #902 Y GARAICOA,,5965,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5966,CHILE 128 Y VELEZ,,5966,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
5967,VELEZ Nº 511 Y BOYACA, MUSEO DEL CACAO ATRAS DEL HOTEL RAMADA ,5967,CARBO (CONCEPCIÓN) ;
"5968,LOS RIOS 301 ENTRE LUIS VERNAZA Y PADRE SOLANO,,5968,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5969,ROCAFUERTE 721 Y MANUEL LUZARRAGA,,5969,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5970,""URDESA CENTRAL, CALLE GUAYACANES 319 ENTRE CALLE CUARTA Y CALLE QUINTA "",,5970,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5971,CDLA GUANGALA MZ E1 SOLAR 8,,5971,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5972,""CDLA. QUISQUIS, MZ. I, SOLAR 15-A"",,5972,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5973,""CDLA. LAS ORQUIDEAS, SOLAR 7-8, MZ. 1017"",,5973,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5974,""EDIF. MALECON  DEL SALADO, OFIC. BSIS0007"","" A LADO DE LA FARMACIA FYBECCA EN LA GARZOTA, DIAGONAL AL CANGREJO CRIOLLO "",5974,TARQUI";
"5975,""EDIF. MALECON DEL SALADO, OFIC. BNIS0001"",,5975,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5976,""URDESA CENTRAL, VICTOR EMILIO ESTRADA E ILANES, MZ. 35, SOLAR 8."",,5976,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5977,KM. 11 VIA A DAULE SOLAR #01 MZ. #467,,5977,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5978,""KM 12 VIA A LA COSTA, C.C. LAGUNA PLAZA, LOCAL 201"",,5978,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5979,""CDLA. QUISQUIS, COSTANERA 1408 Y CALLE SEGUNDA"",,5979,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5980,TUNGURAHUA #1610 Y AYACUCHO,,5980,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
"5981,""CDLA. MIRAFLORES, AV. PRINCIPAL 116 Y CALLE SEGUNDA"",,5981,""GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL""";
