id_Parroquia,nombre,cabecera,Id_Canton,id_direccion
"75,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"76,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"77,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"78,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"79,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"80,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"81,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"82,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"83,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"84,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"85,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"86,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"87,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"88,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"89,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"90,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"91,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"92,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"93,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"94,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"95,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"96,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"97,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"98,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"99,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"100,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
"101,""CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL."",3,3"
