id_actividad,actividad,id_canton,canton,codigo_canton,poblacion,id_provincia,id_categoria,categoria,id_contacto,id_establecimiento,correo_electronico,telefono_principal,telefono_secundario,id_establecimiento,id_tipo_comercio,nombre,direccion_web,direccion,nombre_categoria,id_establecimiento,id_actividad,id_parroquia,parroquia,id_canton,id_provincias,provincia,ventas_generadas,establecimientos_regulados,id_tipo_comercio,clasificacion,id,direccion,referencia,id_parroquia
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,2,"SEGUNDA                                           ",1,1,,072430452,,635,8,"PAELYS  FAST  FOOD",,"PADRE  AGUIRRE  Y  GRAN  COLOMBIA",SEGUNDA,635,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,8,"FUENTE  DE  SODA",457,"PADRE  AGUIRRE  Y  GRAN  COLOMBIA",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,2,"SEGUNDA                                           ",1,1,,072430452,,627,8,GIKÓ,,"VICTOR  J  CUESTA  Y  VARGAS  MACHUCA",SEGUNDA,627,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,8,"FUENTE  DE  SODA",453,"VICTOR  J  CUESTA  Y  VARGAS  MACHUCA",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,2,"SEGUNDA                                           ",1,1,,072430452,,625,1,"QALA  RESTAURANTE",,"PASEO  3  DE  NOVIEMBRE  Y  PUENTE  JUANA  DE  ARCO",SEGUNDA,625,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,452,"PASEO  3  DE  NOVIEMBRE  Y  PUENTE  JUANA  DE  ARCO",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,55,tercera,1,1,,072430452,,624,1,"POLLO  KAMPESTRE",,"AV.  LOJA  Y  DON  BOSCO  ESQ.",TERCERA,624,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,451,"AV.  LOJA  Y  DON  BOSCO  ESQ.",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,54,"tercera ",1,1,,072430452,,624,1,"POLLO  KAMPESTRE",,"AV.  LOJA  Y  DON  BOSCO  ESQ.",TERCERA,624,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,451,"AV.  LOJA  Y  DON  BOSCO  ESQ.",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,1,"TERCERA                                           ",1,1,,072430452,,624,1,"POLLO  KAMPESTRE",,"AV.  LOJA  Y  DON  BOSCO  ESQ.",TERCERA,624,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,451,"AV.  LOJA  Y  DON  BOSCO  ESQ.",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,55,tercera,1,1,,072430452,,621,1,VIKO,,"AV-  DE  LAS  AMERICAS  L-7  Y  AV.  DEL  CHOFER",TERCERA,621,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,450,"AV-  DE  LAS  AMERICAS  L-7  Y  AV.  DEL  CHOFER",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,54,"tercera ",1,1,,072430452,,621,1,VIKO,,"AV-  DE  LAS  AMERICAS  L-7  Y  AV.  DEL  CHOFER",TERCERA,621,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,450,"AV-  DE  LAS  AMERICAS  L-7  Y  AV.  DEL  CHOFER",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,1,"TERCERA                                           ",1,1,,072430452,,621,1,VIKO,,"AV-  DE  LAS  AMERICAS  L-7  Y  AV.  DEL  CHOFER",TERCERA,621,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,1,RESTAURANTE,450,"AV-  DE  LAS  AMERICAS  L-7  Y  AV.  DEL  CHOFER",,3
1,"ALIMENTOS  Y  BEBIDAS",3,CUENCA,101,636996,1,2,"SEGUNDA                                           ",1,1,,072430452,,611,6,"BAMBA  CAFE  LOUNGE",,"PASEO  3  DE  NOVIEMBRE,  JUNTO  A  LA  ESCALINATA  DE  JUANA  DE  ORO",SEGUNDA,611,1,3,"CUENCA,  CABECERA  CANTONAL  Y  CAPITAL  PROVINCIAL.",3,1,AZUAY,291,1300,6,CAFETERÍA,444,"PASEO  3  DE  NOVIEMBRE,  JUNTO  A  LA  ESCALINATA  DE  JUANA  DE  ORO",,3
